hostname,ip,mac
router,192.168.239.1,e4:f4:c6:16:42:f6
raspi1,192.168.239.2,b8:27:eb:e8:e0:bf
deluge,192.168.239.4,02:30:3F:00:11:0B
nehalem,192.168.239.5,00:24:21:10:2b:be
mini,192.168.239.6,c4:2c:03:0b:3e:05
minaret,192.168.239.9,b4:18:d1:ae:e8:25
raspi2,192.168.239.10,b8:27:eb:5b:f5:6c
wanderer,192.168.239.11,e4:98:d6:51:de:77
mimic,192.168.239.12,14:10:9f:de:08:d9
roku,192.168.239.14,ac:3a:7a:0a:c4:74
freenas-ipmi,192.168.239.15,0c:c4:7a:36:9d:41
freenas,192.168.239.16,0C:C4:7A:33:59:EF
plexmediaserver,192.168.239.17,02:2b:91:00:0a:0b
couchpotato,192.168.239.19,02:e6:af:00:0b:0b
sonarr,192.168.239.20,02:06:db:00:0d:0b
nzbget,192.168.239.22,02:d9:08:00:0e:0b
owncloud,192.168.239.24,02:e7:8e:00:11:0b
nginx,192.168.239.25,02:c0:2d:00:10:0b
